League Finish,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Accumulated
1,12,8,18,3,2,3,6,2,3,2,2
2,15,10,7,2,5,10,9,4,6,1,4
3,11,3,1,9,15,1,7,3,1,22,3
4,13,1,5,1,7,4,3,1,5,3,1
5,3,2,22,4,10,2,1,14,21,4,6
6,8,11,12,5,6,5,4,7,2,21,5
7,6,5,11,19,8,17,5,13,10,5,7
8,9,4,6,11,4,23,11,18,4,12,8
9,21,14,2,12,3,16,12,19,17,14,13
10,4,17,19,18,13,22,8,8,9,6,11
11,16,9,4,20,21,9,10,16,8,10,14
12,10,9,13,8,14,21,16,17,20,15,19
13,13,12,21,14,1,7,13,15,15,8,10
14,18,6,9,15,17,8,20,10,11,18,18
15,5,16,16,6,9,13,18,5,7,7,9
16,7,21,17,10,18,14,2,20,19,23,15
17,1,18,3,7,13,11,19,11,13,20,12
18,22,20,15,17,11,6,15,9,16,17,17
19,17,15,10,21,20,18,17,23,14,9,20
20,19,7,14,13,22,12,14,6,12,16,16
21,23,19,23,24,12,19,21,24,10,13,21
22,20,13,20,16,16,20,24,21,23,24,24
23,2,22,8,23,19,24,23,22,22,11,22
24,14,23,24,22,23,15,22,12,18,19,23
