1 to 6,7 to 12,13 to 18,19 to 24
1.209848485,1.000757576,1.271212121,0.901515152
1.616287879,1.090909091,0.786363636,0.712121212
1.331060606,1.311363636,1.047727273,0.828030303
2.485606061,1.018181818,1.271969697,0.642424242
2.479545455,2.020454545,1.903787879,0.873106061
3.852272727,1.156818182,2.152272727,1.263257576
4.971212121,3.166666667,2.58030303,1.298484848
3.876136364,1.854166667,2.19469697,1.434848485
5.050757576,2.083333333,1.675757576,1.199242424
4.433333333,2.438636364,1.812121212,1.682575758
