GK,MF,DF,FW,1 to 6,7 to 12,13 to 18,19 to 24
0.9,0.797916667,1.083854167,1.813541667,1.209848485,1.000757576,1.271212121,0.901515152
0.8,0.932291667,1.047916667,1.422395833,1.616287879,1.090909091,0.786363636,0.712121212
0.897916667,1.009114583,1.03671875,1.671875,1.331060606,1.311363636,1.047727273,0.828030303
0.84375,1.389583333,1.1015625,2.045833333,2.485606061,1.018181818,1.271969697,0.642424242
1.189583333,1.965104167,1.426041667,2.628645833,2.479545455,2.020454545,1.903787879,0.873106061
1.433333333,2.230729167,1.647135417,3.111458333,3.852272727,1.156818182,2.152272727,1.263257576
2.183333333,3.032291667,2.602604167,4.161458333,4.971212121,3.166666667,2.58030303,1.298484848
1.634375,2.516666667,1.959895833,3.099479167,3.876136364,1.854166667,2.19469697,1.434848485
1.758333333,2.337239583,2.437239583,3.334375,5.050757576,2.083333333,1.675757576,1.199242424
2.260416667,2.804166667,2.070833333,3.373958333,4.433333333,2.438636364,1.812121212,1.682575758
